"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",506774
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO INGENIERIA OBRAS CIVILES",251534
"PROFESIONALES","10","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",828723
"ADMINISTRATIVO","17","SECRETARIA DE SUBDIRECCION","SECRETARIA DE SUBDIRECCION","ESCUELA DE PSICOLOGIA",757518
"ADMINISTRATIVO","17","SECRETARIA DE SUBDIRECCION","SECRETARIA DE SUBDIRECCION","ESCUELA DE PSICOLOGIA",306
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",705759
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO TRANSFERENCIA TECNOLOGICA",593503
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","VR INVEST. DESARR E INNOVACION",900235
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",192726
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1873101
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",210525
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3107653
"TECNICO","14","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","TECNICO ESPECIALIZADO","DPTO. QUIMICA DE LOS MATERIALE",956847
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO INGENIERIA MECANICA",256280
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",469965
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",469965
"ADMINISTRATIVO","16","TECNICO AUDIOVISUAL","TECNICO AUDIOVISUAL","VR. VINCULACION CON EL MEDIO",942946
"ADMINISTRATIVO","17","SECRETARIO B","SECRETARIO B","DPTO DE ECONOMIA",740914
"ADMINISTRATIVO","18","SECRETARIA ADMINISTRATIVA","SECRETARIA ADMINISTRATIVA","CENTRO DE INTEGR ING SOCIEDAD",754194
"TECNICO","12","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","DEPTO DE HISTORIA",927705
"TECNICO","13","TECNICO EN ADMINISTRACION DE EMPRESAS","TECNICO CONTABLE","DEPTO. DE FINANZAS Y TESORERIA",822092
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",289501
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",217125
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",296182
"ACADEMICOS","6","INGENIERO CIVIL EN MECANICA","ACADEMICO","VICERRECTORIA ACADÉMICA",2586546
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",72374
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",1342896
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",308485
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",206819
"ACADEMICOS","6","MEDICO CIRUJANO","ACADEMICO","ESCUELA DE MEDICINA",2568466
